516.0,7.0,35555.0,4750.0,17481.0
438.0,47.0,28414.0,5255.0,16000.0
518.0,20.0,21810.0,5643.0,17659.0
483.0,10.0,21832.0,6134.0,15178.0
367.0,12.0,19620.0,6605.0,10206.0
248.0,36.0,19376.0,6954.0,9770.0
131.0,81.0,17458.0,7165.0,12401.0
242.0,41.0,18452.0,7212.0,11921.0
114.0,45.0,18540.0,7407.0,13302.0
110.0,177.0,17727.0,7470.0,13326.0
107.0,204.0,17940.0,7402.0,12887.0
76.0,120.0,17634.0,7300.0,8163.0
74.0,303.0,16272.0,7253.0,7519.0
84.0,264.0,14971.0,7024.0,9808.0
93.0,139.0,17291.0,6838.0,9783.0
152.0,407.0,16346.0,6789.0,11667.0
87.0,286.0,15904.0,6527.0,9932.0
147.0,379.0,15525.0,6325.0,10519.0
98.0,297.0,15704.0,6085.0,5337.0
64.0,257.0,14540.0,5884.0,7104.0
76.0,341.0,13628.0,5684.0,8658.0
100.0,223.0,15440.0,5410.0,10376.0
104.0,414.0,14278.0,5281.0,6851.0
91.0,384.0,14369.0,4966.0,11078.0
146.0,283.0,15219.0,4665.0,9473.0
105.0,222.0,16564.0,4523.0,7647.0
78.0,195.0,15028.0,4398.0,2472.0
125.0,180.0,13531.0,4275.0,11884.0
101.0,159.0,16892.0,4216.0,11189.0
89.0,261.0,16585.0,4155.0,8807.0
86.0,193.0,17885.0,3979.0,10421.0
94.0,304.0,18908.0,3867.0,10429.0
81.0,138.0,20144.0,3654.0,6693.0
47.0,135.0,19571.0,3591.0,5800.0
47.0,96.0,19295.0,3500.0,9098.0
53.0,82.0,20650.0,3445.0,11438.0
39.0,197.0,17858.0,3408.0,11018.0
27.0,144.0,15509.0,3246.0,8524.0
30.0,126.0,15298.0,3125.0,8626.0
32.0,125.0,14070.0,3026.0,4392.0
25.0,79.0,13788.0,2930.0,4494.0
27.0,87.0,13391.0,2873.0,7408.0
27.0,82.0,14651.0,2808.0,6712.0
22.0,141.0,15026.0,2750.0,4959.0
22.0,72.0,14268.0,2627.0,7748.0
18.0,108.0,14186.0,2576.0,8989.0
8.0,105.0,13550.0,2484.0,5574.0
13.0,72.0,12243.0,2385.0,4175.0
9.0,99.0,11981.0,2324.0,7230.0
11.0,64.0,12721.0,2233.0,7534.0
8.0,134.0,12121.0,2179.0,7986.0
16.0,224.0,10139.0,2051.0,12054.0
10.0,82.0,9259.0,1843.0,3374.0
10.0,47.0,8999.0,1769.0,3469.0
14.0,90.0,8895.0,1731.0,6532.0
9.0,68.0,9203.0,1654.0,6570.0
4.0,137.0,8307.0,1593.0,5353.0
9.0,13.0,8634.0,1459.0,3128.0
6.0,51.0,8685.0,1454.0,4676.0
13.0,60.0,8496.0,1407.0,3306.0
8.0,34.0,8588.0,1360.0,3352.0
3.0,66.0,8176.0,1332.0,5631.0
2.0,50.0,8858.0,1267.0,3705.0
4.0,86.0,8009.0,1218.0,5869.0
12.0,65.0,8429.0,1135.0,5025.0
18.0,84.0,8867.0,1082.0,4863.0
34.0,42.0,9153.0,1016.0,2847.0
35.0,22.0,10128.0,1008.0,3777.0
27.0,38.0,10922.0,1021.0,6963.0
26.0,25.0,16330.0,1008.0,11755.0
29.0,67.0,19579.0,1008.0,14392.0
27.0,59.0,20722.0,969.0,16083.0
19.0,30.0,19875.0,937.0,15411.0
13.0,37.0,18343.0,924.0,7678.0
15.0,16.0,17660.0,900.0,7110.0
13.0,34.0,16093.0,898.0,11518.0
32.0,128.0,16925.0,877.0,11401.0
12.0,69.0,16351.0,781.0,10501.0
20.0,27.0,18089.0,723.0,11517.0
23.0,32.0,20286.0,716.0,10696.0
25.0,19.0,21569.0,705.0,7080.0
16.0,13.0,20333.0,711.0,7376.0
19.0,49.0,19089.0,713.0,10064.0
40.0,20.0,22044.0,681.0,14344.0
79.0,45.0,21061.0,701.0,14402.0
58.0,23.0,22370.0,735.0,14209.0
39.0,35.0,24557.0,770.0,16001.0
27.0,7.0,26298.0,774.0,10898.0
35.0,17.0,23294.0,793.0,9770.0
38.0,24.0,24058.0,810.0,13558.0
49.0,21.0,28922.0,823.0,18009.0
39.0,32.0,27865.0,850.0,16633.0
39.0,7.0,28199.0,857.0,16496.0
51.0,25.0,28766.0,889.0,15106.0
57.0,21.0,27954.0,915.0,8880.0
38.0,11.0,26481.0,951.0,7514.0
38.0,26.0,24374.0,978.0,14660.0
50.0,22.0,27459.0,989.0,17161.0
45.0,43.0,26223.0,1015.0,15600.0
56.0,15.0,25494.0,1017.0,15793.0
48.0,22.0,24244.0,1057.0,14061.0
34.0,27.0,23352.0,1083.0,7586.0
36.0,12.0,21356.0,1090.0,5918.0
34.0,30.0,20793.0,1114.0,12175.0
43.0,14.0,22632.0,1117.0,14156.0
59.0,26.0,21489.0,1145.0,12605.0
49.0,35.0,21714.0,1177.0,12826.0
67.0,21.0,21190.0,1191.0,12491.0
48.0,12.0,21470.0,1237.0,6913.0
17.0,13.0,20071.0,1273.0,6254.0
46.0,27.0,19403.0,1277.0,11025.0
